App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 1	0.99	0.70	0.99	0.70	13.00	9.10	0.99	0.63	1.29	0.90	85	60	0.89	0.54	1.00	0.65	7.00	3.92	0.69	0.42	7.00	4.26	7.00	4.26	6	4.20	1.28	0.90	8.00	5.60	30	21	33	23.10	1.79	1.25	55	38.50	9500	6650	3.9	2.73	7.99	5.59	3.69	2.58	3.69	2.58
Tier 2	1.99	1.40	1.99	1.40	26.00	18.20	1.99	1.27	2.59	1.81	170	119	1.79	1.09	2.00	1.30	14.00	7.84	1.49	0.91	13.00	7.91	15.00	9.13	12	8.40	2.58	1.81	15.00	10.50	60	42	66	46.20	3.59	2.51	110	77	19000	13300	7.9	5.53	15.99	11.19	7.29	5.10	7.29	5.10
Tier 3	2.99	2.10	2.99	2.10	39.00	27.30	2.99	1.90	4.19	2.93	250	175	2.69	1.64	3.00	1.94	21.00	11.76	1.99	1.21	19.00	11.57	22.00	13.39	18	12.60	3.98	2.79	23.00	16.10	90	63	99	69.30	5.49	3.84	170	119	29000	20300	11.90	8.33	24.99	17.49	10.99	7.69	10.99	7.69
Tier 4	3.99	2.80	3.99	2.80	49.00	34.30	4.49	2.86	5.29	3.70	350	245	3.59	2.19	4.00	2.59	28.00	15.68	2.49	1.52	25.00	15.22	28.00	17.04	25	17.50	4.98	3.49	28.00	19.60	120	84	129	90.30	6.99	4.89	220	154	39000	27300	15.90	11.13	32.99	23.09	14.99	10.49	14.99	10.49
Tier 5	4.99	3.50	4.99	3.50	65.00	45.50	5.49	3.49	6.49	4.54	450	315	4.49	2.73	5.00	3.24	35.00	19.60	2.99	1.82	32.00	19.48	38.00	23.13	30	21.00	5.98	4.19	38.00	26.60	150	105	169	118.30	8.99	6.29	270	189	49000	34300	19.90	13.93	39.99	27.99	17.99	12.59	17.99	12.59
Tier 6	5.99	4.20	5.99	4.20	79.00	55.30	6.49	4.13	8.29	5.80	500	350	5.49	3.34	6.00	3.89	42.00	23.52	3.99	2.43	39.00	23.74	45.00	27.39	40	28.00	6.98	4.89	48.00	33.60	180	126	199	139.30	10.99	7.69	350	245	59000	41300	23.90	16.73	48.99	34.29	20.99	14.69	20.99	14.69
Tier 7	6.99	4.90	6.99	4.90	89.00	62.30	7.49	4.77	9.99	6.99	600	420	5.99	3.65	7.00	4.54	49.00	27.44	4.99	3.04	45.00	27.39	49.00	29.83	45	31.50	8.98	6.29	53.00	37.10	210	147	229	160.30	12.99	9.09	390	273	69000	48300	27.90	19.53	56.99	39.89	24.99	17.49	24.99	17.49
Tier 8	7.99	5.60	7.99	5.60	99.00	69.30	8.49	5.40	10.99	7.69	700	490	6.99	4.25	8.00	5.19	56.00	31.36	5.49	3.34	55.00	33.48	55.00	33.48	50	35.00	9.98	6.99	58.00	40.60	240	168	269	188.30	14.99	10.49	450	315	79000	55300	31.90	22.33	64.99	45.49	29.99	20.99	29.99	20.99
Tier 9	8.99	6.30	8.99	6.30	119.00	83.30	9.49	6.04	12.99	9.09	800	560	7.99	4.86	9.00	5.83	63.00	35.28	5.99	3.65	59.00	35.91	65.00	39.57	60	42.00	10.98	7.69	68.00	47.60	270	189	299	209.30	16.99	11.89	490	343	89000	62300	35.90	25.13	72.99	51.09	32.99	23.09	32.99	23.09
Tier 10	9.99	7.00	9.99	7.00	129.00	90.30	10.49	6.68	13.99	9.79	850	595	8.99	5.47	10.00	6.48	70.00	39.20	6.99	4.25	65.00	39.57	75.00	45.65	68	47.60	12.98	9.09	78.00	54.60	300	210	329	230.30	17.99	12.59	550	385	95000	66500	39.90	27.93	79.99	55.99	36.99	25.89	36.99	25.89
