App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 1 0.74	0.52	0.70	0.50	0.75	0.52	0.67	0.43	0.75	0.53	0.64	0.45	0.89	0.54	0.81	0.53	0.87	0.49	0.80	0.49	0.94	0.57	0.81	0.49	0.73	0.51	0.75	0.53	0.77	0.54	0.75	0.52	0.75	0.52	0.67	0.47	0.64	0.45	0.65	0.46	0.81	0.57	0.58	0.41	0.74	0.51	0.75	0.52	
Tier 2 1.49	1.05	1.42	1.00	1.50	1.05	1.34	0.86	1.51	1.06	1.29	0.90	1.79	1.09	1.62	1.05	1.74	0.97	1.73	1.06	1.74	1.06	1.73	1.05	1.46	1.02	1.51	1.06	1.45	1.01	1.50	1.05	1.49	1.05	1.35	0.94	1.29	0.90	1.31	0.91	1.64	1.15	1.17	0.82	1.45	1.02	1.48	1.04	
Tier 3 2.23	1.57	2.13	1.49	2.24	1.57	2.02	1.28	2.44	1.71	1.89	1.32	2.69	1.64	2.43	1.57	2.60	1.46	2.32	1.41	2.55	1.55	2.53	1.54	2.20	1.54	2.33	1.63	2.22	1.55	2.25	1.57	2.24	1.57	2.06	1.44	1.99	1.39	1.99	1.39	2.48	1.73	1.82	1.28	2.19	1.53	2.24	1.56	
Tier 4 2.98	2.09	2.84	1.99	2.82	1.97	3.03	1.93	3.09	2.16	2.65	1.85	3.59	2.19	3.24	2.10	3.47	1.94	2.90	1.77	3.35	2.04	3.22	1.96	3.05	2.13	2.91	2.04	2.70	1.89	2.99	2.10	2.92	2.04	2.63	1.84	2.58	1.80	2.68	1.88	3.31	2.32	2.41	1.69	2.99	2.09	3.05	2.13	
Tier 5 3.73	2.62	3.55	2.49	3.74	2.62	3.70	2.35	3.79	2.65	3.41	2.38	4.49	2.73	4.05	2.63	4.34	2.43	3.48	2.12	4.29	2.61	4.37	2.66	3.66	2.56	3.49	2.45	3.66	2.56	3.74	2.62	3.82	2.68	3.38	2.36	3.16	2.22	3.37	2.36	4.14	2.90	2.92	2.04	3.59	2.51	3.66	2.56	
Tier 6 4.48	3.14	4.26	2.99	4.55	3.18	4.38	2.79	4.84	3.38	3.78	2.65	5.49	3.34	4.86	3.15	5.21	2.92	4.64	2.83	5.23	3.18	5.18	3.15	4.88	3.41	4.08	2.86	4.63	3.24	4.49	3.14	4.50	3.15	4.13	2.89	4.10	2.87	4.05	2.84	4.97	3.48	3.58	2.50	4.18	2.93	4.27	2.99	
Tier 7 5.22	3.66	4.97	3.49	5.12	3.59	5.05	3.22	5.83	4.08	4.54	3.18	5.99	3.65	5.67	3.68	6.08	3.40	5.81	3.54	6.03	3.67	5.64	3.43	5.49	3.84	5.25	3.67	5.11	3.58	5.24	3.67	5.18	3.63	4.88	3.41	4.57	3.20	4.74	3.32	5.81	4.06	4.16	2.91	4.98	3.49	5.08	3.56	
Tier 8 5.97	4.18	5.68	3.98	5.70	3.99	5.73	3.64	6.41	4.49	5.30	3.71	6.99	4.25	6.48	4.21	6.94	3.89	6.39	3.89	7.37	4.49	6.33	3.85	6.10	4.27	5.83	4.08	5.59	3.91	5.99	4.19	6.09	4.26	5.63	3.94	5.27	3.69	5.43	3.80	6.64	4.65	4.75	3.32	5.98	4.18	6.10	4.27	
Tier 9 6.72	4.71	6.40	4.48	6.85	4.79	6.40	4.08	7.58	5.30	6.06	4.24	7.99	4.86	7.29	4.72	7.81	4.37	6.97	4.25	7.91	4.81	7.48	4.55	7.32	5.12	6.41	4.49	6.55	4.59	6.74	4.72	6.76	4.73	6.38	4.47	5.74	4.02	6.11	4.28	7.47	5.23	5.33	3.73	6.57	4.60	6.71	4.70	
Tier 10 7.47	5.23	7.11	4.98	7.42	5.20	7.08	4.51	8.16	5.71	6.43	4.50	8.99	5.47	8.10	5.25	8.68	4.86	8.13	4.95	8.71	5.30	8.63	5.25	8.29	5.81	7.58	5.31	7.52	5.26	7.49	5.24	7.44	5.21	6.76	4.73	6.45	4.51	6.53	4.57	8.30	5.81	5.84	4.09	7.37	5.16	7.53	5.27	
Tier 11 8.21	5.75	7.82	5.48	8.00	5.60	7.75	4.93	8.75	6.12	6.81	4.77	9.99	6.08	8.91	5.78	9.55	5.35	8.71	5.31	9.25	5.63	9.78	5.96	8.90	6.23	8.17	5.72	8.00	5.60	8.24	5.76	7.89	5.53	7.51	5.26	6.92	4.84	6.80	4.76	9.14	6.39	6.57	4.60	7.97	5.58	8.14	5.70	
Tier 12 8.96	6.28	8.53	5.98	9.15	6.41	8.76	5.58	9.33	6.53	7.57	5.30	10.99	6.69	9.73	6.31	10.42	5.83	9.30	5.65	10.59	6.45	10.94	6.66	9.51	6.66	8.75	6.13	8.48	5.94	8.98	6.29	8.57	6.00	8.26	5.78	7.62	5.33	7.49	5.24	9.97	6.98	7.30	5.11	8.97	6.28	9.15	6.41	
Tier 13 9.71	6.80	9.24	6.47	9.73	6.81	9.44	6.00	9.91	6.94	8.33	5.83	11.99	7.30	10.54	6.83	11.28	6.32	10.46	6.36	11.39	6.94	11.40	6.94	10.73	7.51	9.34	6.54	9.44	6.61	9.73	6.81	9.03	6.32	9.01	6.31	8.09	5.66	8.17	5.72	10.80	7.56	8.03	5.62	9.56	6.69	9.76	6.83	
