Municipality Code	Street Code	Street Name	Street House number from	Street House Number to	Street House Number even[L]/odd[U]	Post Code	Locality
101	4	Abel Cathrines Gade 	    	998	L	1654	K¿benhavn V         
101	4	Abel Cathrines Gade 	1	999	U	1654	K¿benhavn V         
101	8	Abildgaardsgade     	    	998	L	2100	K¿benhavn ¯         
101	8	Abildgaardsgade     	1	999	U	2100	K¿benhavn ¯         
101	12	Abildh¿j            	    	998	L	2700	Br¿nsh¿j            
101	12	Abildh¿j            	1	999	U	2700	Br¿nsh¿j            
101	14	Abildvang           	2	998	L	2700	Br¿nsh¿j            
101	14	Abildvang           	1	999	U	2700	Br¿nsh¿j            
101	16	Abrikosvej          	    	998	L	2400	K¿benhavn NV        
101	16	Abrikosvej          	1	999	U	2400	K¿benhavn NV        
101	20	Absalonsgade        	    	998	L	1658	K¿benhavn V         
101	20	Absalonsgade        	1	999	U	1658	K¿benhavn V         
101	24	Adelgade            	2	998	L	1304	K¿benhavn K         
101	24	Adelgade            	1	999	U	1304	K¿benhavn K         
101	28	Admiralgade         	    	998	L	1066	K¿benhavn K         
101	28	Admiralgade         	1	999	U	1066	K¿benhavn K         
101	32	Adriansvej          	    	998	L	2300	K¿benhavn S         
101	32	Adriansvej          	1	999	U	2300	K¿benhavn S         
101	36	Agerbo              	    	998	L	2300	K¿benhavn S         
101	36	Agerbo              	1	999	U	2300	K¿benhavn S         
101	40	Agerlandsvej        	    	998	L	2300	K¿benhavn S         
101	40	Agerlandsvej        	1	999	U	2300	K¿benhavn S         
101	44	Aggersborggade      	    	998	L	2100	K¿benhavn ¯         
101	44	Aggersborggade      	1	999	U	2100	K¿benhavn ¯         
101	48	Aggersvoldvej       	    	998	L	2700	Br¿nsh¿j            
101	48	Aggersvoldvej       	1	999	U	2700	Br¿nsh¿j            
101	52	Aggervej            	    	998	L	2720	Vanl¿se             
101	52	Aggervej            	1	999	U	2720	Vanl¿se             
101	54	Agnes Henningsens V 	2	998	L	2200	K¿benhavn N         
101	54	Agnes Henningsens V 	1	999	U	2200	K¿benhavn N         
101	56	Agnetevej           	    	998	L	2300	K¿benhavn S         
101	56	Agnetevej           	1	999	U	2300	K¿benhavn S         
101	60	Ahlefeldtsgade      	2	26	L	1359	K¿benhavn K         
